Time,ID,Category,Group,Event,Msg. Type,Priority,Ether Type,Src. MAC,Src. Vendor,Src. Int.,Src. Zone,Dst. MAC,Dst. Vendor,Dst. Int.,Dst. Zone,Src. IP,Src. Port,Src. Name,Src.NAT IP,Src.NAT Port,In SPI,Dst. IP,Dst. Port,Dst. Name,Dst.NAT IP,Dst.NAT Port,Out SPI,IP Protocol,ICMP Type,ICMP Code,RX Bytes,TX Bytes,Access Rule,NAT Policy,User Name,Session Time,Session Type,IDP Rule,IDP Priority,HTTP OP,URL,VPN Policy,HTTP Result,Block Cat,Application,FW Action,DPI,Notes,Message,HTTP Referer,IP,AbuseScore,Country,ISP,Domain,TotalReports,LastReportedAt
03/26/2025 16:20:35,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,64.62.197.100,49829.0,,,,,217.124.116.61,49668.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service RPC Services (IANA),drop,,TCP Flag(s): SYN,TCP packet dropped,,64.62.197.100,100,United States of America,"The Shadowserver Foundation, Inc.",shadowserver.org,3235,2025-05-05T14:50:59+00:00
03/26/2025 16:25:54,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,185.242.226.109,49968.0,,,,,217.124.116.61,443.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General HTTPS,drop,,TCP Flag(s): SYN,TCP packet dropped,,185.242.226.109,100,Netherlands,HostUS Solutions LLC,hostus.us,898,2025-05-05T15:52:18+00:00
03/26/2025 16:28:04,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,20.84.146.155,50763.0,,,,,217.124.116.61,8888.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,20.84.146.155,100,United States of America,Microsoft Corporation,microsoft.com,618,2025-04-18T13:02:33+00:00
03/26/2025 16:30:09,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,193.3.53.8,35493.0,,,,,217.124.116.61,2780.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service RPC Services,drop,,TCP Flag(s): SYN,TCP packet dropped,,193.3.53.8,100,United States of America,"Securitytrails, LLC",securitytrails.com,5397,2025-05-05T15:35:56+00:00
03/26/2025 16:39:55,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,95.214.53.106,52510.0,,,,,217.124.116.61,443.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General HTTPS,drop,,TCP Flag(s): SYN,TCP packet dropped,,95.214.53.106,100,Poland,MEVSPACE sp. z o.o.,mevspace.com,3928,2025-04-30T08:39:09+00:00
03/26/2025 16:42:05,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,47.254.248.116,17501.0,,,,,217.124.116.61,14440.0,,,,,tcp,,,52.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,47.254.248.116,100,Malaysia,Alibaba Cloud - MY,alibabacloud.com,2329,2025-05-05T13:51:00+00:00
03/26/2025 16:43:05,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,57.129.64.219,48223.0,,,,,217.124.116.61,631.0,,,,,tcp,,,52.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,57.129.64.219,100,Germany,OVH GmbH,ovh.net,19240,2025-05-05T15:49:14+00:00
03/26/2025 16:47:18,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,89.248.165.13,55873.0,,,,,217.124.116.61,2727.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service RPC Services,drop,,TCP Flag(s): SYN,TCP packet dropped,,89.248.165.13,100,Netherlands,RECYBER PROJECT NETBLOCK,recyber.net,2620,2025-05-05T15:14:20+00:00
03/26/2025 16:50:21,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,185.224.128.17,56541.0,,,,,217.124.116.61,44910.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,185.224.128.17,100,Netherlands,Alsycon B.V.,alsycon.nl,24584,2025-05-05T15:50:56+00:00
03/26/2025 16:54:29,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,83.222.191.42,61000.0,,,,,217.124.116.61,21810.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,83.222.191.42,100,Bulgaria,4Media Ltd.,4media.bg,22347,2025-05-05T15:52:39+00:00
03/26/2025 16:56:45,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,185.91.127.81,51328.0,,,,,217.124.116.61,8080.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,Service Tivo TCP Data,drop,,TCP Flag(s): SYN,TCP packet dropped,,185.91.127.81,100,Germany,Ferdinand Zink trading as Tube-Hosting,tube-hosting.com,24063,2025-05-05T15:50:55+00:00
03/26/2025 17:01:52,1226,Network,Network Access,HTTPS Handshake,Standard Message String,Information,,,,X1,,,,X1,,141.98.11.116,63560.0,,,,,217.124.116.61,4443.0,,,,,tcp,,,,,,,,,,,,,,,,,,,,,HTTPS Handshake: wrong version number,,141.98.11.116,100,Lithuania,UAB Host Baltic,serveroffer.lt,1027,2025-05-05T12:06:56+00:00
03/26/2025 17:01:52,1684,Network,Network Access,SSL Error,Standard Message String,Information,,,,X1,,,,X1,,141.98.11.116,63560.0,,,,,217.124.116.61,4443.0,,,,,tcp,,,,,,,,,,,,,,,,,,,,Error1 L=20 F=143 R=267 ssl3_get_record,SSL Error : wrong version number,,141.98.11.116,100,Lithuania,UAB Host Baltic,serveroffer.lt,1027,2025-05-05T12:06:56+00:00
03/26/2025 17:06:17,36,Network,TCP,TCP Packets Dropped,Standard Policy,Notice,2048.0,00:A0:26:D8:CE:CA,"TELDAT, S.A.",X1,WAN,18:C2:41:96:50:99,SONICWALL,X1,WAN,118.194.236.142,37314.0,,,,,217.124.116.61,7537.0,,,,,tcp,,,46.0,,,,,,,,,,,,,,General TCP,drop,,TCP Flag(s): SYN,TCP packet dropped,,118.194.236.142,100,Japan,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,ucloud.cn,1029,2025-05-05T07:11:31+00:00
